Date : 2025-11-25 12:35:24
Directory : /Users/user/Documents/BlueprintCAD
Total : 483 files,  103433 codes, 11302 comments, 14982 blanks, all 129717 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        170 |     39,893 |      7,477 |      8,217 |     55,587 |
| TypeScript JSX     |        117 |     36,127 |      1,511 |      3,382 |     41,020 |
| JavaScript         |        179 |     16,019 |      2,136 |      2,787 |     20,942 |
| JSON               |          2 |      7,426 |          0 |          2 |      7,428 |
| PostCSS            |          2 |      1,677 |        171 |        444 |      2,292 |
| Diff               |          1 |      1,671 |          0 |          1 |      1,672 |
| Markdown           |          3 |        497 |          0 |        139 |        636 |
| JSON with Comments |          1 |         60 |          0 |          1 |         61 |
| MS SQL             |          3 |         58 |          7 |          9 |         74 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |        483 |    103,433 |     11,302 |     14,982 |    129,717 |
| . (Files)                                                                                     |          9 |      7,633 |         27 |         28 |      7,688 |
| app                                                                                           |         54 |     19,814 |        732 |      1,786 |     22,332 |
| app (Files)                                                                                   |          6 |        503 |         17 |         43 |        563 |
| app/api                                                                                       |          1 |        122 |          5 |         25 |        152 |
| app/api/cad                                                                                   |          1 |        122 |          5 |         25 |        152 |
| app/api/cad/files                                                                             |          1 |        122 |          5 |         25 |        152 |
| app/api/cad/files/feature-tree                                                                |          1 |        122 |          5 |         25 |        152 |
| app/assembly-editor                                                                           |          1 |        953 |         78 |        170 |      1,201 |
| app/auth                                                                                      |          1 |         78 |          6 |         11 |         95 |
| app/auth/callback                                                                             |          1 |         78 |          6 |         11 |         95 |
| app/bom-editor                                                                                |          1 |        335 |          8 |         42 |        385 |
| app/buy                                                                                       |          1 |        492 |          9 |         38 |        539 |
| app/cad-editor                                                                                |          1 |      1,311 |         71 |        184 |      1,566 |
| app/checkout                                                                                  |          2 |        531 |         10 |         61 |        602 |
| app/checkout (Files)                                                                          |          1 |        407 |          5 |         47 |        459 |
| app/checkout/success                                                                          |          1 |        124 |          5 |         14 |        143 |
| app/components                                                                                |          7 |      1,065 |         33 |        154 |      1,252 |
| app/dashboard                                                                                 |          1 |        421 |         18 |         22 |        461 |
| app/drawing-editor                                                                            |          1 |        661 |         38 |         98 |        797 |
| app/explore                                                                                   |          2 |        834 |         28 |         23 |        885 |
| app/folders                                                                                   |          2 |      1,098 |         39 |         59 |      1,196 |
| app/folders (Files)                                                                           |          1 |        496 |         23 |         31 |        550 |
| app/folders/[id]                                                                              |          1 |        602 |         16 |         28 |        646 |
| app/forgot-password                                                                           |          1 |        140 |          4 |         14 |        158 |
| app/forgot-username                                                                           |          1 |        140 |          4 |         14 |        158 |
| app/forum                                                                                     |          2 |      1,290 |         34 |         76 |      1,400 |
| app/forum (Files)                                                                             |          1 |        804 |         29 |         47 |        880 |
| app/forum/[id]                                                                                |          1 |        486 |          5 |         29 |        520 |
| app/issues                                                                                    |          1 |        570 |         11 |         59 |        640 |
| app/login                                                                                     |          1 |        247 |          8 |         28 |        283 |
| app/marketplace                                                                               |          2 |        841 |         28 |         26 |        895 |
| app/messages                                                                                  |          1 |        613 |         20 |         29 |        662 |
