Date : 2025-12-16 13:39:31
Directory : /Users/user/Documents/BlueprintCAD
Total : 259 files,  52237 codes, 2520 comments, 4482 blanks, all 59239 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         95 |     30,163 |        956 |      2,362 |     33,481 |
| JSON               |          2 |      8,603 |          0 |          2 |      8,605 |
| JavaScript         |        126 |      7,860 |      1,395 |      1,253 |     10,508 |
| Markdown           |         11 |      2,010 |          0 |        442 |      2,452 |
| PostCSS            |          2 |      1,697 |        175 |        446 |      2,318 |
| Diff               |          1 |      1,671 |          0 |          1 |      1,672 |
| MS SQL             |          4 |        190 |         20 |         23 |        233 |
| JSON with Comments |          1 |         60 |          0 |          1 |         61 |
| XML                |          5 |          5 |          0 |          0 |          5 |
| TypeScript         |         12 |        -22 |        -26 |        -48 |        -96 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |        259 |     52,237 |      2,520 |      4,482 |     59,239 |
| . (Files)                                                                                   |         19 |     10,805 |         29 |        465 |     11,299 |
| ..                                                                                          |         30 |     -2,515 |       -238 |       -482 |     -3,235 |
| ../..                                                                                       |         30 |     -2,515 |       -238 |       -482 |     -3,235 |
| ../../..                                                                                    |         30 |     -2,515 |       -238 |       -482 |     -3,235 |
| ../../../..                                                                                 |         30 |     -2,515 |       -238 |       -482 |     -3,235 |
| ../../../../c:                                                                              |         30 |     -2,515 |       -238 |       -482 |     -3,235 |
| ../../../../c:/Users                                                                        |         30 |     -2,515 |       -238 |       -482 |     -3,235 |
| ../../../../c:/Users/codye                                                                  |         30 |     -2,515 |       -238 |       -482 |     -3,235 |
| ../../../../c:/Users/codye/forge                                                            |         30 |     -2,515 |       -238 |       -482 |     -3,235 |
| ../../../../c:/Users/codye/forge/pages                                                      |         30 |     -2,515 |       -238 |       -482 |     -3,235 |
| ../../../../c:/Users/codye/forge/pages/api_DISABLED                                         |         30 |     -2,515 |       -238 |       -482 |     -3,235 |
| ../../../../c:/Users/codye/forge/pages/api_DISABLED (Files)                                 |          5 |       -523 |        -43 |        -85 |       -651 |
| ../../../../c:/Users/codye/forge/pages/api_DISABLED/analytics                               |          2 |       -362 |        -37 |        -52 |       -451 |
| ../../../../c:/Users/codye/forge/pages/api_DISABLED/auth                                    |         10 |       -699 |        -77 |       -156 |       -932 |
| ../../../../c:/Users/codye/forge/pages/api_DISABLED/channels                                |          2 |       -141 |        -15 |        -34 |       -190 |
| ../../../../c:/Users/codye/forge/pages/api_DISABLED/channels (Files)                        |          1 |        -76 |         -8 |        -17 |       -101 |
| ../../../../c:/Users/codye/forge/pages/api_DISABLED/channels/[id]                           |          1 |        -65 |         -7 |        -17 |        -89 |
| ../../../../c:/Users/codye/forge/pages/api_DISABLED/notifications                           |          2 |       -121 |        -13 |        -26 |       -160 |
| ../../../../c:/Users/codye/forge/pages/api_DISABLED/share                                   |          1 |       -101 |         -7 |        -14 |       -122 |
| ../../../../c:/Users/codye/forge/pages/api_DISABLED/share-links                             |          2 |       -193 |        -18 |        -40 |       -251 |
| ../../../../c:/Users/codye/forge/pages/api_DISABLED/share/[token]                           |          1 |       -101 |         -7 |        -14 |       -122 |
| ../../../../c:/Users/codye/forge/pages/api_DISABLED/subscriptions                           |          6 |       -375 |        -28 |        -75 |       -478 |
| app                                                                                         |         64 |     23,200 |        685 |      1,710 |     25,595 |
| app (Files)                                                                                 |          6 |        515 |         22 |         45 |        582 |
| app/[username]                                                                              |          1 |        798 |         13 |         40 |        851 |
| app/[username]/store                                                                        |          1 |        798 |         13 |         40 |        851 |
| app/analytics                                                                               |          1 |        384 |          3 |         25 |        412 |
| app/api                                                                                     |          1 |         62 |          0 |         13 |         75 |
| app/api/auth                                                                                |          1 |         62 |          0 |         13 |         75 |
| app/api/auth/[...nextauth]                                                                  |          1 |         62 |          0 |         13 |         75 |
| app/auth                                                                                    |          1 |         50 |          2 |          7 |         59 |
| app/auth/callback                                                                           |          1 |         50 |          2 |          7 |         59 |
| app/buy                                                                                     |          1 |        492 |          9 |         38 |        539 |
| app/checkout                                                                                |          2 |        606 |         15 |         63 |        684 |
| app/checkout (Files)                                                                        |          1 |        482 |         10 |         49 |        541 |
| app/checkout/success                                                                        |          1 |        124 |          5 |         14 |        143 |
| app/components                                                                              |          7 |      1,061 |         33 |        154 |      1,248 |
| app/context                                                                                 |          2 |        243 |         14 |         40 |        297 |
| app/dashboard                                                                               |          2 |        850 |         25 |         46 |        921 |
| app/dashboard (Files)                                                                       |          1 |        435 |         18 |         22 |        475 |
| app/dashboard/analytics                                                                     |          1 |        415 |          7 |         24 |        446 |
| app/explore                                                                                 |          2 |        906 |         28 |         23 |        957 |
| app/folders                                                                                 |          2 |      1,940 |         47 |        105 |      2,092 |
| app/folders (Files)                                                                         |          1 |        349 |         17 |         25 |        391 |
| app/folders/[id]                                                                            |          1 |      1,591 |         30 |         80 |      1,701 |
| app/forgot-password                                                                         |          1 |        141 |          4 |         14 |        159 |
| app/forgot-username                                                                         |          1 |        141 |          4 |         14 |        159 |
| app/forum                                                                                   |          2 |      1,310 |         35 |         78 |      1,423 |
| app/forum (Files)                                                                           |          1 |        824 |         30 |         49 |        903 |
| app/forum/[id]                                                                              |          1 |        486 |          5 |         29 |        520 |
| app/issues                                                                                  |          1 |        570 |         11 |         59 |        640 |
| app/login                                                                                   |          1 |        231 |          8 |         26 |        265 |
| app/marketplace                                                                             |          2 |        849 |         28 |         26 |        903 |
| app/messages                                                                                |          2 |      1,225 |         22 |         59 |      1,306 |
| app/notifications                                                                           |          1 |        383 |         25 |         40 |        448 |
| app/order                                                                                   |          2 |        525 |          4 |         40 |        569 |
| app/order (Files)                                                                           |          1 |        415 |          4 |         29 |        448 |
| app/order/thank-you                                                                         |          1 |        110 |          0 |         11 |        121 |
| app/orders                                                                                  |          1 |        393 |          7 |         26 |        426 |
| app/profile                                                                                 |          4 |      2,080 |         58 |        141 |      2,279 |
| app/profile/[username]                                                                      |          4 |      2,080 |         58 |        141 |      2,279 |
| app/profile/[username] (Files)                                                              |          2 |      1,694 |         58 |        105 |      1,857 |
| app/profile/[username]/followers                                                            |          1 |        193 |          0 |         18 |        211 |
| app/profile/[username]/following                                                            |          1 |        193 |          0 |         18 |        211 |
| app/project                                                                                 |          2 |        985 |         41 |         51 |      1,077 |
| app/project/[id]                                                                            |          2 |        985 |         41 |         51 |      1,077 |
| app/providers                                                                               |          1 |          6 |          0 |          3 |          9 |
| app/purchase                                                                                |          1 |        584 |         13 |         34 |        631 |
| app/quote                                                                                   |          2 |      1,866 |         95 |        189 |      2,150 |
| app/register                                                                                |          1 |        247 |          9 |         23 |        279 |
| app/reset-password                                                                          |          1 |        214 |          5 |         23 |        242 |
| app/settings                                                                                |          2 |      1,016 |         23 |         59 |      1,098 |
| app/settings (Files)                                                                        |          1 |        791 |         20 |         35 |        846 |
| app/settings/account                                                                        |          1 |        225 |          3 |         24 |        252 |
| app/share                                                                                   |          1 |        337 |         17 |         28 |        382 |
| app/share/[token]                                                                           |          1 |        337 |         17 |         28 |        382 |
| app/storefront                                                                              |          1 |        434 |          0 |         23 |        457 |
| app/subscription                                                                            |          2 |        522 |          8 |         44 |        574 |
| app/subscription (Files)                                                                    |          1 |        381 |          6 |         28 |        415 |
| app/subscription/success                                                                    |          1 |        141 |          2 |         16 |        159 |
| app/support                                                                                 |          1 |        191 |          8 |         11 |        210 |
| app/transfer-requests                                                                       |          1 |         30 |          0 |          4 |         34 |
| app/upload                                                                                  |          1 |        889 |         47 |         80 |      1,016 |
